Plenary,NID,Link_to_submission,Meeting_title,Group_name,Applicable_Pathways
P20,76519,https://www.rd-alliance.org/computational-reproducibility-what%E2%80%99s-next-rda,Computational Reproducibility: What’s Next for RDA?,,"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment / Training, Stewardship, and Data Management Planning / Research Software"
P19,76519,https://www.rd-alliance.org/computational-reproducibility-what%E2%80%99s-next-rda,Computational Reproducibility: What’s Next for RDA?,,"FAIR, CARE, TRUST - Adoption, Implementation, and Deployment / Training, Stewardship, and Data Management Planning / Research Software"
P19,75737,https://www.rd-alliance.org/test-joint-session-supporting-fair-software,TEST of Joint session: Supporting FAIR in software,"Data Citation WG
","FAIR, CARE, TRUST - Principles"
P19,75122,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-0,FAIR Principles for Research Hardware (FAIR4RH),"FAIR Principles for Research Hardware
","FAIR, CARE, TRUST - Principles"
P19,75234,https://www.rd-alliance.org/joint-session-supporting-fair-software,Joint session: Supporting FAIR in software,"RDA/WDS Scholarly Link Exchange (Scholix) WG
","FAIR, CARE, TRUST - Principles"
P20,76497,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/ig-fair-digital-object-fabric-discussing-fair,IG FAIR Digital Object Fabric: Discussing the FAIR DO Concept,"FAIR Digital Object Fabric IG
","FAIR, CARE, TRUST - Principles / Data Infrastructures and Environments - International / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P19,76497,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/ig-fair-digital-object-fabric-discussing-fair,IG FAIR Digital Object Fabric: Discussing the FAIR DO Concept,"FAIR Digital Object Fabric IG
","FAIR, CARE, TRUST - Principles / Data Infrastructures and Environments - International / Data Lifecycles - Versioning, Provenance, Citation, and Reward"
P19,75277,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-30,Social Science IG Plenary meeting - progress so far and directions for future activity,"Social Science Research Data IG
","FAIR, CARE, TRUST - Principles / Data Infrastructures and Environments - International / Discipline Focused Data Issues"
P20,76452,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/privacy-issues-research-data-setting-aims-and,Privacy issues in research data: Setting aims and objectives,"RDA Privacy Implications of Research Data Sets IG
","FAIR, CARE, TRUST - Principles / Data Infrastructures and Environments - International / Training, Stewardship, and Data Management Planning"
P19,76452,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/privacy-issues-research-data-setting-aims-and,Privacy issues in research data: Setting aims and objectives,"RDA Privacy Implications of Research Data Sets IG
","FAIR, CARE, TRUST - Principles / Data Infrastructures and Environments - International / Training, Stewardship, and Data Management Planning"
P19,75273,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-26,The FAIR Data Maturity Model in practice: learning from adoption,"FAIR Data Maturity Model WG
","FAIR, CARE, TRUST - Principles / FAIR, CARE, TRUST - Adoption, Implementation, and Deployment"
P19,75271,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-24,FAIR4RS - FAIR principles for research software outcomes and governance,"FAIR for Research Software (FAIR4RS) WG
","FAIR, CARE, TRUST - Principles / FAIR, CARE, TRUST - Adoption, Implementation, and Deployment"
P20,76542,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/trust-principles-certification-updates,TRUST Principles & Certification updates,"RDA/WDS Certification of Digital Repositories IG
","FAIR, CARE, TRUST - Principles / FAIR, CARE, TRUST - Adoption, Implementation, and Deployment"
P19,76542,https://www.rd-alliance.org/plenaries/rda-20th-plenary-meeting-gothenburg-hybrid/trust-principles-certification-updates,TRUST Principles & Certification updates,"RDA/WDS Certification of Digital Repositories IG
","FAIR, CARE, TRUST - Principles / FAIR, CARE, TRUST - Adoption, Implementation, and Deployment"
P19,75262,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-22,CoreTrustSeal 2023-25 requirements | TRUST Principles,"RDA/WDS Certification of Digital Repositories IG
","FAIR, CARE, TRUST - Principles / FAIR, CARE, TRUST - Adoption, Implementation, and Deployment"
P19,75310,https://www.rd-alliance.org/plenaries/rda-19th-plenary-meeting-part-international-data-week-20%E2%80%9323-june-2022-seoul-south-korea-44,PID Infrastructure: What makes open open? ,"PID IG
","FAIR, CARE, TRUST - Principles / FAIR, CARE, TRUST - Adoption, Implementation, and Deployment / Data Infrastructures and Environments - International"
